SALES_ID,DATE,ITEMS SOLD,SALES_AMT
1,07/09/2012,CAR,100
2,07/09/2012,BUS,144
3,07/09/2012,VAN,42
4,07/09/2012,BIKE,100
5,07/09/2012,BUS,144
6,07/09/2012,VAN,166
7,08/09/2012,BIKE,177
8,09/09/2012,BIKE,180
9,10/09/2012,BIKE,167
10,11/09/2012,VAN,100
11,12/09/2012,CAR,144
12,13/09/2012,BIKE,42
13,13/09/2012,BUS,100
14,14/09/2012,VAN,144
15,15/09/2012,BIKE,166
16,16/09/2012,BIKE,177
17,17/09/2012,BIKE,180
18,18/09/2012,VAN,167
19,19/09/2012,CAR,167
20,19/09/2012,BIKE,100
21,19/09/2012,BUS,144
22,19/09/2012,VAN,42
23,19/09/2012,BIKE,100
24,19/09/2012,BIKE,144
25,19/09/2012,BIKE,166
26,19/09/2012,VAN,177
27,19/09/2012,CAR,180
